Player,FNameInit,Team,Value,Start,Sub,Goals,Penalty Missed,Key Contributions,Clean Sheet Full, Clean Sheet Part,Goal Conceded, Penalty Save,Red Card,Yellow Card,Own Goal, Points Per Value,Total Points
 Murray, G,BOU,4.2m,9,15,4,1,0,-,-,-,-,0,2,0,11.7,49
 Skrtel, M,LIV,4.2m,18,1,1,0,0,5,0,25,-,0,4,1,11.7,49
 Fernando,MCY,3.6m,18,7,2,0,0,-,-,-,-,0,4,0,13.6,49
 Colback, J,NEW,3.5m,25,1,1,0,1,-,-,-,-,0,10,0,14.0,49
 Foster, B,WBA,3.1m,16,0,0,0,0,5,0,18,0,0,1,0,15.8,49
 Montero, J,SWA,3.0m,13,9,1,0,3,-,-,-,-,0,0,0,16.3,49
 Routledge, W,SWA,3.0m,19,6,1,0,1,-,-,-,-,0,3,0,16.3,49
 Tettey, A,NOR,2.9m,23,0,2,0,1,-,-,-,-,0,10,0,16.9,49
 Cisse, P,NEW,5.2m,12,7,3,0,1,-,-,-,-,0,1,0,9.2,48
 Schweinsteiger, B,MUN,5.1m,14,6,1,0,4,-,-,-,-,0,3,0,9.4,48
 Carrick, M,MUN,3.8m,22,6,0,0,1,-,-,-,-,0,5,0,12.6,48
 Anya, I,WAT,3.5m,15,15,0,0,1,-,-,-,-,0,0,0,13.7,48
 Romeu, O,SOT,3.2m,17,10,2,0,0,-,-,-,-,0,6,0,15.0,48
 Iwobi, A,ARS,2.7m,9,2,2,0,6,-,-,-,-,0,0,0,17.8,48
 Mirallas, K,EVE,3.9m,9,14,3,0,2,-,-,-,-,2,0,0,12.1,47
 Sako, B,CRY,3.0m,11,10,2,0,2,-,-,-,-,0,1,0,15.7,47
 Obiang, P,WHM,2.9m,15,13,0,0,2,-,-,-,-,0,2,0,16.2,47
 Olsson, M,NOR,2.9m,17,4,1,0,2,3,1,34,-,0,2,0,16.2,47
 Welbeck, D,ARS,5.7m,7,4,4,0,3,-,-,-,-,0,1,0,8.1,46
 Baines, L,EVE,4.5m,14,2,0,0,2,4,1,21,-,0,0,0,10.2,46
 Townsend, A,NEW,3.6m,9,4,3,0,3,-,-,-,-,0,0,0,12.8,46
 Demichelis, M,MCY,3.7m,12,9,0,0,0,4,9,22,-,0,4,0,12.2,45
